epoch:0, iteration:2450, loss(train):0.575218915939331, loss(valid):0.5583280324935913, acc(train):0.685535728931427, acc(valid):0.6982142925262451, precision0:variable(0.82003854), precision1:variable(0.64375538), recall0:variable(0.50714967), recall1:variable(0.88891532), f1score0:variable(0.62671182), f1score1:variable(0.74672794)
epoch:1, iteration:4900, loss(train):0.5435892939567566, loss(valid):0.5607423782348633, acc(train):0.7116071581840515, acc(valid):0.7016071677207947, precision0:variable(0.80468891), precision1:variable(0.65082186), recall0:variable(0.53169685), recall1:variable(0.8711941), f1score0:variable(0.64030997), f1score1:variable(0.74505416)
epoch:2, iteration:7350, loss(train):0.5013137459754944, loss(valid):0.5948945879936218, acc(train):0.7391326427459717, acc(valid):0.6930357217788696, precision0:variable(0.73465835), precision1:variable(0.66407591), recall0:variable(0.60343184), recall1:variable(0.78246908), f1score0:variable(0.6626104), f1score1:variable(0.71842752)
epoch:3, iteration:9800, loss(train):0.4184538424015045, loss(valid):0.6916500926017761, acc(train):0.7926275730133057, acc(valid):0.6794047355651855, precision0:variable(0.72207447), precision1:variable(0.65061802), recall0:variable(0.58234032), recall1:variable(0.77628449), f1score0:variable(0.64472296), f1score1:variable(0.70791757)
epoch:4, iteration:12250, loss(train):0.3119952380657196, loss(valid):0.874682605266571, acc(train):0.8531887531280518, acc(valid):0.652738094329834, precision0:variable(0.65491764), precision1:variable(0.65063202), recall0:variable(0.6443041), recall1:variable(0.66115604), f1score0:variable(0.64956752), f1score1:variable(0.65585182)
epoch:5, iteration:14700, loss(train):0.2179890275001526, loss(valid):1.0947428941726685, acc(train):0.905484676361084, acc(valid):0.6619642972946167, precision0:variable(0.67596316), precision1:variable(0.6500935), recall0:variable(0.62094852), recall1:variable(0.702902), f1score0:variable(0.64728899), f1score1:variable(0.67546717)
epoch:6, iteration:17150, loss(train):0.14877493679523468, loss(valid):1.404179573059082, acc(train):0.9382143020629883, acc(valid):0.6462500095367432, precision0:variable(0.65167843), precision1:variable(0.64122837), recall0:variable(0.62690658), recall1:variable(0.66555661), f1score0:variable(0.63905254), f1score1:variable(0.65316603)
epoch:7, iteration:19600, loss(train):0.11027395725250244, loss(valid):1.6335023641586304, acc(train):0.95566326379776, acc(valid):0.6479762196540833, precision0:variable(0.65284974), precision1:variable(0.64343225), recall0:variable(0.63060057), recall1:variable(0.66531874), f1score0:variable(0.64153231), f1score1:variable(0.65419249)
epoch:8, iteration:22050, loss(train):0.08249326050281525, loss(valid):1.8439736366271973, acc(train):0.9693112373352051, acc(valid):0.6363690495491028, precision0:variable(0.62400869), precision1:variable(0.65134957), recall0:variable(0.68446139), recall1:variable(0.58836822), f1score0:variable(0.65283855), f1score1:variable(0.61825908)
epoch:9, iteration:24500, loss(train):0.06558167934417725, loss(valid):1.858292579650879, acc(train):0.975790798664093, acc(valid):0.6412500143051147, precision0:variable(0.64248705), precision1:variable(0.64004235), recall0:variable(0.63536702), recall1:variable(0.64712179), f1score0:variable(0.6389072), f1score1:variable(0.6435626)
epoch:10, iteration:26950, loss(train):0.0548260360956192, loss(valid):2.159274101257324, acc(train):0.9801530838012695, acc(valid):0.654702365398407, precision0:variable(0.65428129), precision1:variable(0.65512317), recall0:variable(0.65467112), recall1:variable(0.65473359), f1score0:variable(0.65447615), f1score1:variable(0.65492832)
