epoch:0, iteration:2450, loss(train):0.5333847999572754, loss(valid):0.5190973877906799, acc(train):0.7306377291679382, acc(valid):0.748452365398407, precision0:variable(0.8353375), precision1:variable(0.69715043), recall0:variable(0.61957427), recall1:variable(0.87760696), f1score0:variable(0.71145705), f1score1:variable(0.77703915)
epoch:1, iteration:4900, loss(train):0.4935588836669922, loss(valid):0.5292349457740784, acc(train):0.7577295899391174, acc(valid):0.7407737970352173, precision0:variable(0.77751917), precision1:variable(0.71251053), recall0:variable(0.67534784), recall1:variable(0.80634013), f1score0:variable(0.72284096), f1score1:variable(0.75652709)
epoch:2, iteration:7350, loss(train):0.44656381011009216, loss(valid):0.5606082081794739, acc(train):0.7842091917991638, acc(valid):0.7401785850524902, precision0:variable(0.78754266), precision1:variable(0.70608108), recall0:variable(0.65858009), recall1:variable(0.82195209), f1score0:variable(0.71731105), f1score1:variable(0.75962333)
epoch:3, iteration:9800, loss(train):0.3628889322280884, loss(valid):0.6564985513687134, acc(train):0.8303571343421936, acc(valid):0.7061904668807983, precision0:variable(0.72566602), precision1:variable(0.68973092), recall0:variable(0.66405042), recall1:variable(0.74842093), f1score0:variable(0.6934923), f1score1:variable(0.71787837)
epoch:4, iteration:12250, loss(train):0.2622126638889313, loss(valid):0.9656767249107361, acc(train):0.8806887865066528, acc(valid):0.7073809504508972, precision0:variable(0.73700638), precision1:variable(0.68423285), recall0:variable(0.64585563), recall1:variable(0.76903826), f1score0:variable(0.68842692), f1score1:variable(0.72416115)
epoch:5, iteration:14700, loss(train):0.1798805147409439, loss(valid):1.1326704025268555, acc(train):0.922448992729187, acc(valid):0.694940447807312, precision0:variable(0.68761426), precision1:variable(0.70290755), recall0:variable(0.71566179), recall1:variable(0.67417471), f1score0:variable(0.70135773), f1score1:variable(0.68824138)
epoch:6, iteration:17150, loss(train):0.12238191813230515, loss(valid):1.380515456199646, acc(train):0.9497703909873962, acc(valid):0.6829761862754822, precision0:variable(0.68641916), precision1:variable(0.67963896), recall0:variable(0.67499108), recall1:variable(0.69097843), f1score0:variable(0.68065715), f1score1:variable(0.68526179)
epoch:7, iteration:19600, loss(train):0.08608101308345795, loss(valid):1.6826950311660767, acc(train):0.9664540886878967, acc(valid):0.6870238184928894, precision0:variable(0.68390335), precision1:variable(0.69027086), recall0:variable(0.69675348), recall1:variable(0.67727327), f1score0:variable(0.69026861), f1score1:variable(0.6837103)
epoch:8, iteration:22050, loss(train):0.06566301733255386, loss(valid):1.6920593976974487, acc(train):0.9741581678390503, acc(valid):0.676964282989502, precision0:variable(0.67686833), precision1:variable(0.67706093), recall0:variable(0.67855869), recall1:variable(0.67536646), f1score0:variable(0.67771245), f1score1:variable(0.67621264)
epoch:9, iteration:24500, loss(train):0.05484437197446823, loss(valid):1.9601192474365234, acc(train):0.9802296161651611, acc(valid):0.6818452477455139, precision0:variable(0.68619349), precision1:variable(0.67767149), recall0:variable(0.67142347), recall1:variable(0.69228936), f1score0:variable(0.67872814), f1score1:variable(0.68490243)
epoch:10, iteration:26950, loss(train):0.04416262358427048, loss(valid):2.035778284072876, acc(train):0.9845408201217651, acc(valid):0.6941666603088379, precision0:variable(0.7084236), precision1:variable(0.68167095), recall0:variable(0.66107742), recall1:variable(0.7273269), f1score0:variable(0.68393209), f1score1:variable(0.70375923)
epoch:11, iteration:29400, loss(train):0.038196101784706116, loss(valid):2.4286744594573975, acc(train):0.9862754940986633, acc(valid):0.6848214268684387, precision0:variable(0.67839138), precision1:variable(0.69177403), recall0:variable(0.70412653), recall1:variable(0.66547491), f1score0:variable(0.69101943), f1score1:variable(0.67836968)
epoch:12, iteration:31850, loss(train):0.03376827389001846, loss(valid):2.4797632694244385, acc(train):0.9879847168922424, acc(valid):0.6896428465843201, precision0:variable(0.69422492), precision1:variable(0.68524781), recall0:variable(0.67903437), recall1:variable(0.7002741), f1score0:variable(0.68654563), f1score1:variable(0.69267948)
epoch:13, iteration:34300, loss(train):0.03041238524019718, loss(valid):2.317369222640991, acc(train):0.9894387722015381, acc(valid):0.6901190280914307, precision0:variable(0.70101669), precision1:variable(0.68028982), recall0:variable(0.66416934), recall1:variable(0.71612442), f1score0:variable(0.68209575), f1score1:variable(0.69774733)
epoch:14, iteration:36750, loss(train):0.025428373366594315, loss(valid):2.5833654403686523, acc(train):0.9908163547515869, acc(valid):0.6899404525756836, precision0:variable(0.69143336), precision1:variable(0.68846245), recall0:variable(0.68723986), recall1:variable(0.69264688), f1score0:variable(0.68933023), f1score1:variable(0.69054833)
epoch:15, iteration:39200, loss(train):0.028406372293829918, loss(valid):2.766690969467163, acc(train):0.9904336929321289, acc(valid):0.6962500214576721, precision0:variable(0.70781996), precision1:variable(0.68584671), recall0:variable(0.66952075), recall1:variable(0.72303659), f1score0:variable(0.68813787), f1score1:variable(0.7039508)
epoch:16, iteration:41650, loss(train):0.02052563987672329, loss(valid):2.7680044174194336, acc(train):0.9926275610923767, acc(valid):0.6833333373069763, precision0:variable(0.68455013), precision1:variable(0.68212549), recall0:variable(0.68129385), recall1:variable(0.68537719), f1score0:variable(0.68291811), f1score1:variable(0.68374747)
epoch:17, iteration:44100, loss(train):0.024092014878988266, loss(valid):2.9299604892730713, acc(train):0.9918622374534607, acc(valid):0.6967856884002686, precision0:variable(0.70973048), precision1:variable(0.68528718), recall0:variable(0.66702343), recall1:variable(0.72661185), f1score0:variable(0.68771457), f1score1:variable(0.70534475)
epoch:18, iteration:46550, loss(train):0.01820352114737034, loss(valid):2.843963384628296, acc(train):0.9936989545822144, acc(valid):0.6897618770599365, precision0:variable(0.69123101), precision1:variable(0.68830707), recall0:variable(0.68712094), recall1:variable(0.69240853), f1score0:variable(0.68916985), f1score1:variable(0.69035171)
epoch:19, iteration:49000, loss(train):0.015710683539509773, loss(valid):2.9841763973236084, acc(train):0.9946683645248413, acc(valid):0.6923214197158813, precision0:variable(0.69308701), precision1:variable(0.69155767), recall0:variable(0.69152099), recall1:variable(0.69312358), f1score0:variable(0.69230311), f1score1:variable(0.69233974)
epoch:20, iteration:51450, loss(train):0.015689799562096596, loss(valid):3.398977518081665, acc(train):0.994336724281311, acc(valid):0.6979166865348816, precision0:variable(0.71311685), precision1:variable(0.68467365), recall0:variable(0.6633369), recall1:variable(0.73257061), f1score0:variable(0.68732672), f1score1:variable(0.70781277)
epoch:21, iteration:53900, loss(train):0.014118548482656479, loss(valid):3.324643850326538, acc(train):0.995306134223938, acc(valid):0.6846428513526917, precision0:variable(0.68599785), precision1:variable(0.68329975), recall0:variable(0.68224521), recall1:variable(0.68704564), f1score0:variable(0.68411638), f1score1:variable(0.68516758)
epoch:22, iteration:56350, loss(train):0.01466528419405222, loss(valid):3.4572153091430664, acc(train):0.9948214292526245, acc(valid):0.6963690519332886, precision0:variable(0.7068017), precision1:variable(0.68688934), recall0:variable(0.67225592), recall1:variable(0.72053391), f1score0:variable(0.68909612), f1score1:variable(0.70330949)
epoch:23, iteration:58800, loss(train):0.012973204255104065, loss(valid):3.1956865787506104, acc(train):0.9955612421035767, acc(valid):0.6903571486473083, precision0:variable(0.68947182), precision1:variable(0.69125585), recall0:variable(0.69389939), recall1:variable(0.68680729), f1score0:variable(0.69167852), f1score1:variable(0.68902439)
epoch:24, iteration:61250, loss(train):0.012727323919534683, loss(valid):3.1368491649627686, acc(train):0.9958163499832153, acc(valid):0.6897023916244507, precision0:variable(0.69379093), precision1:variable(0.68576105), recall0:variable(0.68034249), recall1:variable(0.69908235), f1score0:variable(0.6870009), f1score1:variable(0.69235763)
epoch:25, iteration:63700, loss(train):0.012734849937260151, loss(valid):3.221341133117676, acc(train):0.9958673715591431, acc(valid):0.697440505027771, precision0:variable(0.71050633), precision1:variable(0.6858427), recall0:variable(0.66749911), recall1:variable(0.72744607), f1score0:variable(0.6883316), f1score1:variable(0.70603204)
epoch:26, iteration:66150, loss(train):0.009521130472421646, loss(valid):3.874650478363037, acc(train):0.9966581463813782, acc(valid):0.7007142901420593, precision0:variable(0.71648098), precision1:variable(0.68702035), recall0:variable(0.66535854), recall1:variable(0.73614587), f1score0:variable(0.6899741), f1score1:variable(0.71073524)
epoch:27, iteration:68600, loss(train):0.01039036177098751, loss(valid):3.905726432800293, acc(train):0.9963520169258118, acc(valid):0.698035717010498, precision0:variable(0.70618047), precision1:variable(0.69047072), recall0:variable(0.67939113), recall1:variable(0.7167203), f1score0:variable(0.69252682), f1score1:variable(0.70335068)
epoch:28, iteration:71050, loss(train):0.011601538397371769, loss(valid):3.505878210067749, acc(train):0.9962754845619202, acc(valid):0.6901785731315613, precision0:variable(0.6940407), precision1:variable(0.68644663), recall0:variable(0.68141277), recall1:variable(0.69896317), f1score0:variable(0.68766877), f1score1:variable(0.69264836)
epoch:29, iteration:73500, loss(train):0.009140994399785995, loss(valid):3.3670969009399414, acc(train):0.9970663189888, acc(valid):0.6893452405929565, precision0:variable(0.6945122), precision1:variable(0.6844186), recall0:variable(0.67725056), recall1:variable(0.70146586), f1score0:variable(0.68577277), f1score1:variable(0.69283738)
epoch:30, iteration:75950, loss(train):0.008090797811746597, loss(valid):3.2547988891601562, acc(train):0.9975765347480774, acc(valid):0.6898214221000671, precision0:variable(0.68736817), precision1:variable(0.69235422), recall0:variable(0.69758592), recall1:variable(0.68204028), f1score0:variable(0.69243936), f1score1:variable(0.68715855)
epoch:31, iteration:78400, loss(train):0.008761749602854252, loss(valid):2.82947039604187, acc(train):0.997270405292511, acc(valid):0.6903571486473083, precision0:variable(0.69284426), precision1:variable(0.68791986), recall0:variable(0.6850993), recall1:variable(0.69562627), f1score0:variable(0.68895001), f1score1:variable(0.6917516)
epoch:32, iteration:80850, loss(train):0.006661850959062576, loss(valid):4.567914009094238, acc(train):0.9976020455360413, acc(valid):0.684166669845581, precision0:variable(0.67493517), precision1:variable(0.69448998), recall0:variable(0.71185634), recall1:variable(0.65641759), f1score0:variable(0.69290427), f1score1:variable(0.67491729)
