epoch:21, iteration:53900, loss(train):0.01590709201991558, loss(valid):3.4285166263580322, acc(train):0.9946428537368774, acc(valid):0.645892858505249, precision0:variable(0.64778093), precision1:variable(0.64397214), recall0:variable(0.64923696), recall1:variable(0.64250629), f1score0:variable(0.64850812), f1score1:variable(0.64323838)
epoch:22, iteration:56350, loss(train):0.016041792929172516, loss(valid):3.658735990524292, acc(train):0.9942857027053833, acc(valid):0.6444047689437866, precision0:variable(0.64957162), precision1:variable(0.63937507), recall0:variable(0.63681533), recall1:variable(0.65209057), f1score0:variable(0.64313023), f1score1:variable(0.64567023)
epoch:23, iteration:58800, loss(train):0.016074558719992638, loss(valid):3.9062411785125732, acc(train):0.9947448968887329, acc(valid):0.6381547451019287, precision0:variable(0.63310159), precision1:variable(0.64387211), recall0:variable(0.66792855), recall1:variable(0.60800288), f1score0:variable(0.65004893), f1score1:variable(0.62542362)
epoch:24, iteration:61250, loss(train):0.015594830736517906, loss(valid):3.7841362953186035, acc(train):0.9947959184646606, acc(valid):0.6425595283508301, precision0:variable(0.64729242), precision1:variable(0.63792697), recall0:variable(0.63634213), recall1:variable(0.64885588), f1score0:variable(0.64177057), f1score1:variable(0.64334501)
epoch:25, iteration:63700, loss(train):0.015591024421155453, loss(valid):3.4721786975860596, acc(train):0.9947448968887329, acc(valid):0.6517857313156128, precision0:variable(0.6691358), precision1:variable(0.63712246), recall0:variable(0.60913285), recall1:variable(0.69498023), f1score0:variable(0.63772603), f1score1:variable(0.66479487)
epoch:26, iteration:66150, loss(train):0.011864150874316692, loss(valid):4.098344802856445, acc(train):0.9963775277137756, acc(valid):0.6555356979370117, precision0:variable(0.67059125), precision1:variable(0.6424438), recall0:variable(0.61989826), recall1:variable(0.69162573), f1score0:variable(0.64424909), f1score1:variable(0.66612819)
epoch:27, iteration:68600, loss(train):0.011166669428348541, loss(valid):4.350916862487793, acc(train):0.9964795708656311, acc(valid):0.6482738256454468, precision0:variable(0.65750371), precision1:variable(0.63972948), recall0:variable(0.62817934), recall1:variable(0.66862346), f1score0:variable(0.64250711), f1score1:variable(0.65385742)
epoch:28, iteration:71050, loss(train):0.012280759401619434, loss(valid):3.851565361022949, acc(train):0.9958673715591431, acc(valid):0.6438094973564148, precision0:variable(0.64303094), precision1:variable(0.64463215), recall0:variable(0.65657163), recall1:variable(0.63088535), f1score0:variable(0.64973074), f1score1:variable(0.63768467)
epoch:29, iteration:73500, loss(train):0.01064698863774538, loss(valid):4.400913715362549, acc(train):0.9965305924415588, acc(valid):0.6532142758369446, precision0:variable(0.6605157), precision1:variable(0.64628061), recall0:variable(0.63941796), recall1:variable(0.66718582), f1score0:variable(0.64979562), f1score1:variable(0.65656685)
epoch:30, iteration:75950, loss(train):0.008958368562161922, loss(valid):4.387633323669434, acc(train):0.9969387650489807, acc(valid):0.6479762196540833, precision0:variable(0.65578599), precision1:variable(0.64061958), recall0:variable(0.63220159), recall1:variable(0.66395112), f1score0:variable(0.64377786), f1score1:variable(0.65207671)
epoch:31, iteration:78400, loss(train):0.01278151385486126, loss(valid):3.7904744148254395, acc(train):0.9957143068313599, acc(valid):0.6441071629524231, precision0:variable(0.64796651), precision1:variable(0.64028436), recall0:variable(0.64083757), recall1:variable(0.64741823), f1score0:variable(0.64438232), f1score1:variable(0.64383154)
epoch:32, iteration:80850, loss(train):0.010285484604537487, loss(valid):3.8144612312316895, acc(train):0.9969132542610168, acc(valid):0.6442261934280396, precision0:variable(0.64184235), precision1:variable(0.64680377), recall0:variable(0.66272329), recall1:variable(0.62549419), f1score0:variable(0.65211571), f1score1:variable(0.63597052)
epoch:33, iteration:83300, loss(train):0.006365412846207619, loss(valid):5.0238542556762695, acc(train):0.9981122612953186, acc(valid):0.6433928608894348, precision0:variable(0.64616481), precision1:variable(0.64060635), recall0:variable(0.6437951), recall1:variable(0.6429855), f1score0:variable(0.64497778), f1score1:variable(0.64179372)
epoch:34, iteration:85750, loss(train):0.00857323594391346, loss(valid):4.627569675445557, acc(train):0.9974744915962219, acc(valid):0.6505952477455139, precision0:variable(0.65891473), precision1:variable(0.64279949), recall0:variable(0.6335029), recall1:variable(0.66790464), f1score0:variable(0.64595899), f1score1:variable(0.65511163)
epoch:35, iteration:88200, loss(train):0.008477077819406986, loss(valid):4.144620895385742, acc(train):0.9969642758369446, acc(valid):0.6444047689437866, precision0:variable(0.65037001), precision1:variable(0.63865841), recall0:variable(0.63421271), recall1:variable(0.65472625), f1score0:variable(0.64218975), f1score1:variable(0.64659252)
epoch:36, iteration:90650, loss(train):0.008764098398387432, loss(valid):4.5171308517456055, acc(train):0.9971428513526917, acc(valid):0.6454761624336243, precision0:variable(0.65076682), precision1:variable(0.64033337), recall0:variable(0.63752514), recall1:variable(0.65352821), f1score0:variable(0.64407793), f1score1:variable(0.64686351)
epoch:37, iteration:93100, loss(train):0.008814595639705658, loss(valid):4.412581920623779, acc(train):0.9970152974128723, acc(valid):0.6452381014823914, precision0:variable(0.64944251), precision1:variable(0.64109233), recall0:variable(0.64083757), recall1:variable(0.6496945), f1score0:variable(0.64511135), f1score1:variable(0.64536475)
epoch:38, iteration:95550, loss(train):0.006711731664836407, loss(valid):5.432999134063721, acc(train):0.9978316426277161, acc(valid):0.6451785564422607, precision0:variable(0.64911441), precision1:variable(0.64128375), recall0:variable(0.64166568), recall1:variable(0.64873607), f1score0:variable(0.64536855), f1score1:variable(0.64498839)
epoch:39, iteration:98000, loss(train):0.006496541667729616, loss(valid):4.6421589851379395, acc(train):0.9980612397193909, acc(valid):0.6441666483879089, precision0:variable(0.65758309), precision1:variable(0.63239075), recall0:variable(0.61090737), recall1:variable(0.67784833), f1score0:variable(0.63338648), f1score1:variable(0.65433098)
