epoch:0, iteration:7691, loss(train):0.29463669657707214, loss(valid):0.28573715686798096, acc(train):0.9084780216217041, acc(valid):0.9075601696968079, precision0:variable(0.90756016), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.95154027), f1score1:variable(nan)
epoch:1, iteration:15382, loss(train):0.28048190474510193, loss(valid):0.28536203503608704, acc(train):0.9085131883621216, acc(valid):0.9075601696968079, precision0:variable(0.90756016), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.95154027), f1score1:variable(nan)
epoch:2, iteration:23073, loss(train):0.2765692174434662, loss(valid):0.2856760323047638, acc(train):0.908507764339447, acc(valid):0.9075601696968079, precision0:variable(0.90756016), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.95154027), f1score1:variable(nan)
epoch:3, iteration:30764, loss(train):0.27264466881752014, loss(valid):0.28762170672416687, acc(train):0.9085131883621216, acc(valid):0.9075601696968079, precision0:variable(0.90756016), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.95154027), f1score1:variable(nan)
epoch:4, iteration:38455, loss(train):0.2680774927139282, loss(valid):0.28901517391204834, acc(train):0.9085105061531067, acc(valid):0.9075601696968079, precision0:variable(0.90756016), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.95154027), f1score1:variable(nan)
epoch:5, iteration:46146, loss(train):0.26165521144866943, loss(valid):0.29127874970436096, acc(train):0.9085727334022522, acc(valid):0.9074653387069702, precision0:variable(0.90755139), precision1:variable(0.), recall0:variable(0.99989553), recall1:variable(0.), f1score0:variable(0.95148816), f1score1:variable(nan)
epoch:6, iteration:53837, loss(train):0.2527947425842285, loss(valid):0.2961347997188568, acc(train):0.9091958403587341, acc(valid):0.9070292115211487, precision0:variable(0.90761932), precision1:variable(0.16666667), recall0:variable(0.99926873), recall1:variable(0.0014359), f1score0:variable(0.95124158), f1score1:variable(0.00284726)
epoch:7, iteration:61528, loss(train):0.24065755307674408, loss(valid):0.3081129789352417, acc(train):0.9110134840011597, acc(valid):0.9041090607643127, precision0:variable(0.90828103), precision1:variable(0.21202532), recall0:variable(0.99479754), recall1:variable(0.01374359), f1score0:variable(0.94957271), f1score1:variable(0.02581391)
epoch:8, iteration:69219, loss(train):0.22478845715522766, loss(valid):0.33219656348228455, acc(train):0.9156048893928528, acc(valid):0.884843647480011, precision0:variable(0.91131715), precision1:variable(0.19091847), recall0:variable(0.96723915), recall1:variable(0.07589744), f1score0:variable(0.93844579), f1score1:variable(0.10861588)
epoch:9, iteration:76910, loss(train):0.20576320588588715, loss(valid):0.3441815674304962, acc(train):0.9218052625656128, acc(valid):0.8971879482269287, precision0:variable(0.90903659), precision1:variable(0.18160652), recall0:variable(0.98531194), recall1:variable(0.032), f1score0:variable(0.94563866), f1score1:variable(0.05441228)
epoch:10, iteration:84601, loss(train):0.1839214414358139, loss(valid):0.38501638174057007, acc(train):0.9302350282669067, acc(valid):0.8589226007461548, precision0:variable(0.91314391), precision1:variable(0.16400314), recall0:variable(0.93332915), recall1:variable(0.12841026), f1score0:variable(0.9231262), f1score1:variable(0.1440405)
epoch:11, iteration:92292, loss(train):0.16127406060695648, loss(valid):0.41244542598724365, acc(train):0.9382177591323853, acc(valid):0.8764055371284485, precision0:variable(0.91074551), precision1:variable(0.15898713), recall0:variable(0.95766997), recall1:variable(0.0785641), f1score0:variable(0.93361849), f1score1:variable(0.105162)
