epoch:0, iteration:7691, loss(train):0.25536519289016724, loss(valid):0.24838292598724365, acc(train):0.925521731376648, acc(valid):0.9250810742378235, precision0:variable(0.92508106), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96108271), f1score1:variable(nan)
epoch:1, iteration:15382, loss(train):0.24274958670139313, loss(valid):0.24754288792610168, acc(train):0.9255434274673462, acc(valid):0.9250810742378235, precision0:variable(0.92508106), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96108271), f1score1:variable(nan)
epoch:2, iteration:23073, loss(train):0.2389800101518631, loss(valid):0.24923580884933472, acc(train):0.9255434274673462, acc(valid):0.9250810742378235, precision0:variable(0.92508106), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96108271), f1score1:variable(nan)
epoch:3, iteration:30764, loss(train):0.23543626070022583, loss(valid):0.24886031448841095, acc(train):0.9255406260490417, acc(valid):0.9250810742378235, precision0:variable(0.92508106), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96108271), f1score1:variable(nan)
epoch:4, iteration:38455, loss(train):0.231068953871727, loss(valid):0.2506958544254303, acc(train):0.9255461096763611, acc(valid):0.9250810742378235, precision0:variable(0.92508106), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96108271), f1score1:variable(nan)
epoch:5, iteration:46146, loss(train):0.22537639737129211, loss(valid):0.25478383898735046, acc(train):0.9255434274673462, acc(valid):0.9250810742378235, precision0:variable(0.92508106), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.96108271), f1score1:variable(nan)
epoch:6, iteration:53837, loss(train):0.21742884814739227, loss(valid):0.2565769553184509, acc(train):0.925584077835083, acc(valid):0.9249672889709473, precision0:variable(0.92507254), precision1:variable(0.), recall0:variable(0.99987701), recall1:variable(0.), f1score0:variable(0.96102131), f1score1:variable(nan)
epoch:7, iteration:61528, loss(train):0.20653221011161804, loss(valid):0.2639155089855194, acc(train):0.926618754863739, acc(valid):0.9240760803222656, precision0:variable(0.92524784), precision1:variable(0.18072289), recall0:variable(0.99860616), recall1:variable(0.00379651), f1score0:variable(0.96052839), f1score1:variable(0.00743679)
epoch:8, iteration:69219, loss(train):0.19169381260871887, loss(valid):0.2787327170372009, acc(train):0.9306250810623169, acc(valid):0.9205112457275391, precision0:variable(0.92564524), precision1:variable(0.15864023), recall0:variable(0.99391219), recall1:variable(0.01417363), f1score0:variable(0.95856479), f1score1:variable(0.0260223)
epoch:9, iteration:76910, loss(train):0.1736244261264801, loss(valid):0.2979285418987274, acc(train):0.9360236525535583, acc(valid):0.9159603118896484, precision0:variable(0.92576025), precision1:variable(0.12942989), recall0:variable(0.98841881), recall1:variable(0.02126044), f1score0:variable(0.956064), f1score1:variable(0.03652174)
epoch:10, iteration:84601, loss(train):0.15425258874893188, loss(valid):0.3260349929332733, acc(train):0.9432020783424377, acc(valid):0.9098735451698303, precision0:variable(0.92661848), precision1:variable(0.14513274), recall0:variable(0.98019924), recall1:variable(0.04150848), f1score0:variable(0.95265606), f1score1:variable(0.06455422)
epoch:11, iteration:92292, loss(train):0.13308729231357574, loss(valid):0.35946664214134216, acc(train):0.9509139657020569, acc(valid):0.9099683165550232, precision0:variable(0.92641078), precision1:variable(0.13739763), recall0:variable(0.9805682), recall1:variable(0.03821817), f1score0:variable(0.95272047), f1score1:variable(0.05980198)
epoch:12, iteration:99983, loss(train):0.1113852933049202, loss(valid):0.39206600189208984, acc(train):0.9589861631393433, acc(valid):0.8944005370140076, precision0:variable(0.92671656), precision1:variable(0.11439466), recall0:variable(0.9619153), recall1:variable(0.06074412), f1score0:variable(0.94398793), f1score1:variable(0.07935196)
epoch:13, iteration:107674, loss(train):0.09242823719978333, loss(valid):0.46751347184181213, acc(train):0.9658204317092896, acc(valid):0.9085082411766052, precision0:variable(0.92625128), precision1:variable(0.12649573), recall0:variable(0.97905137), recall1:variable(0.03745887), f1score0:variable(0.95191972), f1score1:variable(0.05780121)
epoch:14, iteration:115365, loss(train):0.07471707463264465, loss(valid):0.487962931394577, acc(train):0.9721752405166626, acc(valid):0.8898116946220398, precision0:variable(0.92724634), precision1:variable(0.11947627), recall0:variable(0.95588898), recall1:variable(0.07390534), f1score0:variable(0.94134983), f1score1:variable(0.09132134)
epoch:15, iteration:123056, loss(train):0.06130312755703926, loss(valid):0.5791803598403931, acc(train):0.9773192405700684, acc(valid):0.9079583883285522, precision0:variable(0.92630905), precision1:variable(0.12716763), recall0:variable(0.97833395), recall1:variable(0.03897747), f1score0:variable(0.95161097), f1score1:variable(0.0596668)
epoch:16, iteration:130747, loss(train):0.047961920499801636, loss(valid):0.5942627787590027, acc(train):0.9833977818489075, acc(valid):0.8864364624023438, precision0:variable(0.92731194), precision1:variable(0.11691729), recall0:variable(0.95185094), recall1:variable(0.07871425), f1score0:variable(0.93942122), f1score1:variable(0.09408561)
epoch:17, iteration:138438, loss(train):0.036236975342035294, loss(valid):0.6434962749481201, acc(train):0.987815797328949, acc(valid):0.8862658143043518, precision0:variable(0.92841123), precision1:variable(0.13433369), recall0:variable(0.95033411), recall1:variable(0.09516578), f1score0:variable(0.93924476), f1score1:variable(0.11140741)
epoch:18, iteration:146129, loss(train):0.0301132183521986, loss(valid):0.7290648221969604, acc(train):0.9895413517951965, acc(valid):0.9026679396629333, precision0:variable(0.92675726), precision1:variable(0.12876884), recall0:variable(0.97156971), recall1:variable(0.0518856), f1score0:variable(0.94863456), f1score1:variable(0.07396717)
