epoch:0, iteration:7691, loss(train):0.2912255823612213, loss(valid):0.27931416034698486, acc(train):0.9092987775802612, acc(valid):0.9108216166496277, precision0:variable(0.91082162), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.95332983), f1score1:variable(nan)
epoch:1, iteration:15382, loss(train):0.27762189507484436, loss(valid):0.2791364789009094, acc(train):0.9096508622169495, acc(valid):0.9108216166496277, precision0:variable(0.91082162), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.95332983), f1score1:variable(nan)
epoch:2, iteration:23073, loss(train):0.2734479606151581, loss(valid):0.2807140052318573, acc(train):0.9096454381942749, acc(valid):0.9108216166496277, precision0:variable(0.91082162), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.95332983), f1score1:variable(nan)
epoch:3, iteration:30764, loss(train):0.26898884773254395, loss(valid):0.2811829149723053, acc(train):0.9096454381942749, acc(valid):0.9108216166496277, precision0:variable(0.91082162), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.95332983), f1score1:variable(nan)
epoch:4, iteration:38455, loss(train):0.2634519040584564, loss(valid):0.28342097997665405, acc(train):0.9096482396125793, acc(valid):0.9108216166496277, precision0:variable(0.91082162), precision1:variable(nan), recall0:variable(1.), recall1:variable(0.), f1score0:variable(0.95332983), f1score1:variable(nan)
epoch:5, iteration:46146, loss(train):0.25549817085266113, loss(valid):0.28811171650886536, acc(train):0.9097321629524231, acc(valid):0.9106888771057129, precision0:variable(0.91088771), precision1:variable(0.29411765), recall0:variable(0.99975018), recall1:variable(0.00106315), f1score0:variable(0.95325248), f1score1:variable(0.00211864)
epoch:6, iteration:53837, loss(train):0.24483105540275574, loss(valid):0.2955460250377655, acc(train):0.9107235670089722, acc(valid):0.9089254140853882, precision0:variable(0.91140252), precision1:variable(0.24489796), recall0:variable(0.99691885), recall1:variable(0.01020625), f1score0:variable(0.95224459), f1score1:variable(0.01959584)
epoch:7, iteration:61528, loss(train):0.23049461841583252, loss(valid):0.30951544642448425, acc(train):0.9139172434806824, acc(valid):0.9067447781562805, precision0:variable(0.91149074), precision1:variable(0.19020173), recall0:variable(0.99414998), recall1:variable(0.0140336), f1score0:variable(0.95102764), f1score1:variable(0.02613861)
epoch:8, iteration:69219, loss(train):0.2121414691209793, loss(valid):0.32825934886932373, acc(train):0.9201231002807617, acc(valid):0.8967707753181458, precision0:variable(0.912454), precision1:variable(0.16531165), recall0:variable(0.98076363), recall1:variable(0.03891133), f1score0:variable(0.94537646), f1score1:variable(0.06299484)
epoch:9, iteration:76910, loss(train):0.19124126434326172, loss(valid):0.34574341773986816, acc(train):0.9273312091827393, acc(valid):0.8933196663856506, precision0:variable(0.91293087), precision1:variable(0.16726748), recall0:variable(0.97595453), recall1:variable(0.04933021), f1score0:variable(0.94339129), f1score1:variable(0.07619048)
epoch:10, iteration:84601, loss(train):0.16815969347953796, loss(valid):0.38737526535987854, acc(train):0.9359614253044128, acc(valid):0.8951400518417358, precision0:variable(0.91233993), precision1:variable(0.15455305), recall0:variable(0.97893159), recall1:variable(0.03933659), f1score0:variable(0.94446341), f1score1:variable(0.06271186)
epoch:11, iteration:92292, loss(train):0.14526909589767456, loss(valid):0.42042088508605957, acc(train):0.9443017840385437, acc(valid):0.8840851783752441, precision0:variable(0.91352812), precision1:variable(0.15609756), recall0:variable(0.96398384), recall1:variable(0.06804168), f1score0:variable(0.93807802), f1score1:variable(0.09477269)
epoch:12, iteration:99983, loss(train):0.12252072244882584, loss(valid):0.4605354070663452, acc(train):0.9527396559715271, acc(valid):0.8762538433074951, precision0:variable(0.91370649), precision1:variable(0.14546869), recall0:variable(0.95426156), recall1:variable(0.07952371), f1score0:variable(0.93354379), f1score1:variable(0.102832)
epoch:13, iteration:107674, loss(train):0.10206051170825958, loss(valid):0.525397002696991, acc(train):0.9614267945289612, acc(valid):0.8757229447364807, precision0:variable(0.9141043), precision1:variable(0.15114964), recall0:variable(0.95311654), recall1:variable(0.08526472), f1score0:variable(0.93320288), f1score1:variable(0.10902664)
epoch:14, iteration:115365, loss(train):0.08561308681964874, loss(valid):0.5708209276199341, acc(train):0.9677274227142334, acc(valid):0.8682519197463989, precision0:variable(0.91472524), precision1:variable(0.1495473), recall0:variable(0.94329017), recall1:variable(0.10184988), f1score0:variable(0.92878813), f1score1:variable(0.12117379)
epoch:15, iteration:123056, loss(train):0.06856774538755417, loss(valid):0.6582610011100769, acc(train):0.9743503928184509, acc(valid):0.8813356757164001, precision0:variable(0.91319829), precision1:variable(0.14416476), recall0:variable(0.96106924), recall1:variable(0.06697852), f1score0:variable(0.93652243), f1score1:variable(0.09146341)
epoch:16, iteration:130747, loss(train):0.055528026074171066, loss(valid):0.7180724740028381, acc(train):0.9799278378486633, acc(valid):0.878301739692688, precision0:variable(0.9133328), precision1:variable(0.14196242), recall0:variable(0.9572178), recall1:variable(0.07229428), f1score0:variable(0.93476051), f1score1:variable(0.09580163)
epoch:17, iteration:138438, loss(train):0.04687798395752907, loss(valid):0.7997143268585205, acc(train):0.9833571910858154, acc(valid):0.8816201090812683, precision0:variable(0.91327308), precision1:variable(0.14613971), recall0:variable(0.96131907), recall1:variable(0.06761642), f1score0:variable(0.93668036), f1score1:variable(0.0924553)
