epoch:0, iteration:2450, loss(train):0.5914415121078491, loss(valid):0.5816415548324585, acc(train):0.6636479496955872, acc(valid):0.6767857074737549, precision0:variable(0.74803279), precision1:variable(0.63616822), recall0:variable(0.53961684), recall1:variable(0.81579578), f1score0:variable(0.62695796), f1score1:variable(0.71487083)
epoch:1, iteration:4900, loss(train):0.5584244728088379, loss(valid):0.5897614359855652, acc(train):0.6942091584205627, acc(valid):0.6767261624336243, precision0:variable(0.73882836), precision1:variable(0.63915162), recall0:variable(0.55333491), recall1:variable(0.80177373), f1score0:variable(0.6327676), f1score1:variable(0.71128595)
epoch:2, iteration:7350, loss(train):0.5110303163528442, loss(valid):0.6066635251045227, acc(train):0.7303061485290527, acc(valid):0.668749988079071, precision0:variable(0.71911475), precision1:variable(0.63618544), recall0:variable(0.56102176), recall1:variable(0.77792426), f1score0:variable(0.63030625), f1score1:variable(0.69995147)
epoch:3, iteration:9800, loss(train):0.41662633419036865, loss(valid):0.7182154655456543, acc(train):0.7909693717956543, acc(valid):0.6571428775787354, precision0:variable(0.688637), precision1:variable(0.63383054), recall0:variable(0.58195364), recall1:variable(0.73334132), f1score0:variable(0.63081656), f1score1:variable(0.67996444)
epoch:4, iteration:12250, loss(train):0.29946357011795044, loss(valid):0.9929640889167786, acc(train):0.8616836667060852, acc(valid):0.6392857432365417, precision0:variable(0.65474038), precision1:variable(0.6260764), recall0:variable(0.59945601), recall1:variable(0.67965005), f1score0:variable(0.62587974), f1score1:variable(0.65176417)
epoch:5, iteration:14700, loss(train):0.20125648379325867, loss(valid):1.2797571420669556, acc(train):0.9137755036354065, acc(valid):0.635535717010498, precision0:variable(0.64485285), precision1:variable(0.62695781), recall0:variable(0.61412015), recall1:variable(0.65723873), f1score0:variable(0.62911139), f1score1:variable(0.64174127)
epoch:6, iteration:17150, loss(train):0.13348574936389923, loss(valid):1.5858486890792847, acc(train):0.9465816617012024, acc(valid):0.6282142996788025, precision0:variable(0.63538348), precision1:variable(0.62144015), recall0:variable(0.61329234), recall1:variable(0.64333653), f1score0:variable(0.6241425), f1score1:variable(0.6321988)
epoch:7, iteration:19600, loss(train):0.09355886280536652, loss(valid):1.8876700401306152, acc(train):0.9640051126480103, acc(valid):0.6253571510314941, precision0:variable(0.62850689), precision1:variable(0.62219838), recall0:variable(0.62523652), recall1:variable(0.62547939), f1score0:variable(0.62686744), f1score1:variable(0.62383457)
epoch:8, iteration:22050, loss(train):0.07014793157577515, loss(valid):2.1593480110168457, acc(train):0.9739285707473755, acc(valid):0.633988082408905, precision0:variable(0.64778988), precision1:variable(0.62201223), recall0:variable(0.59791864), recall1:variable(0.67054171), f1score0:variable(0.62185597), f1score1:variable(0.64536594)
epoch:9, iteration:24500, loss(train):0.05830895155668259, loss(valid):2.2119083404541016, acc(train):0.9793112277984619, acc(valid):0.6235714554786682, precision0:variable(0.62238806), precision1:variable(0.62484549), recall0:variable(0.64108325), recall1:variable(0.60582454), f1score0:variable(0.63159734), f1score1:variable(0.61518802)
epoch:10, iteration:26950, loss(train):0.04999374598264694, loss(valid):2.3072690963745117, acc(train):0.9821683764457703, acc(valid):0.6273809671401978, precision0:variable(0.63432836), precision1:variable(0.62079759), recall0:variable(0.61317408), recall1:variable(0.64177852), f1score0:variable(0.62357186), f1score1:variable(0.63111373)
epoch:11, iteration:29400, loss(train):0.04394896328449249, loss(valid):2.543064832687378, acc(train):0.9844897985458374, acc(valid):0.631845235824585, precision0:variable(0.64492661), precision1:variable(0.62041272), recall0:variable(0.59756386), recall1:variable(0.66658677), f1score0:variable(0.62034252), f1score1:variable(0.64267144)
epoch:12, iteration:31850, loss(train):0.03739921376109123, loss(valid):2.7075424194335938, acc(train):0.9862754940986633, acc(valid):0.6223809719085693, precision0:variable(0.62406015), precision1:variable(0.62065637), recall0:variable(0.628193), recall1:variable(0.61649089), f1score0:variable(0.62611975), f1score1:variable(0.61856662)
epoch:13, iteration:34300, loss(train):0.03390398621559143, loss(valid):2.6856184005737305, acc(train):0.9880102276802063, acc(valid):0.6274404525756836, precision0:variable(0.637536), precision1:variable(0.61829116), recall0:variable(0.60217597), recall1:variable(0.6530441), f1score0:variable(0.6193517), f1score1:variable(0.63519263)
epoch:14, iteration:36750, loss(train):0.030487339943647385, loss(valid):2.808765411376953, acc(train):0.9895918369293213, acc(valid):0.6183333396911621, precision0:variable(0.61749828), precision1:variable(0.61922982), recall0:variable(0.63517029), recall1:variable(0.60127037), f1score0:variable(0.62620963), f1score1:variable(0.61011796)
epoch:15, iteration:39200, loss(train):0.026369765400886536, loss(valid):3.1958487033843994, acc(train):0.9910714030265808, acc(valid):0.6258928775787354, precision0:variable(0.62632375), precision1:variable(0.6254417), recall0:variable(0.63647114), recall1:variable(0.61517258), f1score0:variable(0.63135668), f1score1:variable(0.62026464)
epoch:16, iteration:41650, loss(train):0.025913052260875702, loss(valid):3.3063955307006836, acc(train):0.9906377792358398, acc(valid):0.629880964756012, precision0:variable(0.63420485), precision1:variable(0.62562042), recall0:variable(0.62535478), recall1:variable(0.63446788), f1score0:variable(0.62974872), f1score1:variable(0.63001309)
epoch:17, iteration:44100, loss(train):0.022675897926092148, loss(valid):3.367337942123413, acc(train):0.9923469424247742, acc(valid):0.630059540271759, precision0:variable(0.63530975), precision1:variable(0.62495598), recall0:variable(0.62216178), recall1:variable(0.63806328), f1score0:variable(0.62866703), f1score1:variable(0.63144162)
epoch:18, iteration:46550, loss(train):0.021539967507123947, loss(valid):3.3275444507598877, acc(train):0.9927040934562683, acc(valid):0.6213690638542175, precision0:variable(0.62522415), precision1:variable(0.61754594), recall0:variable(0.61849574), recall1:variable(0.62428092), f1score0:variable(0.62184175), f1score1:variable(0.62089517)
epoch:19, iteration:49000, loss(train):0.019096318632364273, loss(valid):3.520385980606079, acc(train):0.9937244653701782, acc(valid):0.6289880871772766, precision0:variable(0.63500547), precision1:variable(0.62320532), recall0:variable(0.61825922), recall1:variable(0.63986098), f1score0:variable(0.62652046), f1score1:variable(0.63142333)
epoch:20, iteration:51450, loss(train):0.016336262226104736, loss(valid):3.4143857955932617, acc(train):0.994336724281311, acc(valid):0.6186904907226562, precision0:variable(0.6167692), precision1:variable(0.62079282), recall0:variable(0.64025544), recall1:variable(0.59683605), f1score0:variable(0.62829291), f1score1:variable(0.60857876)
epoch:21, iteration:53900, loss(train):0.015956828370690346, loss(valid):3.940650463104248, acc(train):0.9942857027053833, acc(valid):0.6223214268684387, precision0:variable(0.62555014), precision1:variable(0.61908733), recall0:variable(0.62192526), recall1:variable(0.62272291), f1score0:variable(0.62373243), f1score1:variable(0.6208998)
epoch:22, iteration:56350, loss(train):0.015908025205135345, loss(valid):3.856470823287964, acc(train):0.9942091703414917, acc(valid):0.6273809671401978, precision0:variable(0.63965912), precision1:variable(0.61658089), recall0:variable(0.59472564), recall1:variable(0.66047459), f1score0:variable(0.61637456), f1score1:variable(0.63777341)
epoch:23, iteration:58800, loss(train):0.01395015325397253, loss(valid):3.7389509677886963, acc(train):0.9952806234359741, acc(valid):0.614047646522522, precision0:variable(0.60926418), precision1:variable(0.61959877), recall0:variable(0.65018921), recall1:variable(0.5774209), f1score0:variable(0.62906178), f1score1:variable(0.59776675)
epoch:24, iteration:61250, loss(train):0.01341274380683899, loss(valid):4.058296203613281, acc(train):0.9955102205276489, acc(valid):0.623452365398407, precision0:variable(0.63057872), precision1:variable(0.61672837), recall0:variable(0.60820719), recall1:variable(0.63890221), f1score0:variable(0.61919095), f1score1:variable(0.6276195)
epoch:25, iteration:63700, loss(train):0.011417054571211338, loss(valid):4.452243328094482, acc(train):0.9959183931350708, acc(valid):0.6206547617912292, precision0:variable(0.6227171), precision1:variable(0.61854926), recall0:variable(0.625), recall1:variable(0.6162512), f1score0:variable(0.62385646), f1score1:variable(0.61739809)
epoch:26, iteration:66150, loss(train):0.011152972467243671, loss(valid):3.993536949157715, acc(train):0.9961989521980286, acc(valid):0.6223214268684387, precision0:variable(0.62612021), precision1:variable(0.61855059), recall0:variable(0.61967833), recall1:variable(0.625), f1score0:variable(0.62288262), f1score1:variable(0.62175857)
epoch:27, iteration:68600, loss(train):0.011189475655555725, loss(valid):4.545286178588867, acc(train):0.9961479306221008, acc(valid):0.6204761862754822, precision0:variable(0.62484994), precision1:variable(0.61617473), recall0:variable(0.61553926), recall1:variable(0.62547939), f1score0:variable(0.62015966), f1score1:variable(0.6207922)
epoch:28, iteration:71050, loss(train):0.00965757668018341, loss(valid):4.26618766784668, acc(train):0.9969642758369446, acc(valid):0.6187499761581421, precision0:variable(0.62541274), precision1:variable(0.61243187), recall0:variable(0.60477767), recall1:variable(0.63290988), f1score0:variable(0.61492214), f1score1:variable(0.6225025)
epoch:29, iteration:73500, loss(train):0.010605516843497753, loss(valid):4.258418083190918, acc(train):0.9964030385017395, acc(valid):0.626369059085846, precision0:variable(0.64571352), precision1:variable(0.61085488), recall0:variable(0.57095553), recall1:variable(0.68252637), f1score0:variable(0.60603778), f1score1:variable(0.64470482)
epoch:30, iteration:75950, loss(train):0.008598330430686474, loss(valid):5.297876358032227, acc(train):0.9969897866249084, acc(valid):0.6166666746139526, precision0:variable(0.61512106), precision1:variable(0.61834908), recall0:variable(0.63694418), recall1:variable(0.59611697), f1score0:variable(0.62584244), f1score1:variable(0.60702953)
epoch:31, iteration:78400, loss(train):0.009108384139835835, loss(valid):5.126088619232178, acc(train):0.9971683621406555, acc(valid):0.6278571486473083, precision0:variable(0.63635239), precision1:variable(0.61998165), recall0:variable(0.60820719), recall1:variable(0.64777085), f1score0:variable(0.62196154), f1score1:variable(0.63357168)
epoch:32, iteration:80850, loss(train):0.008262360468506813, loss(valid):4.377135276794434, acc(train):0.9973979592323303, acc(valid):0.6242262125015259, precision0:variable(0.62400185), precision1:variable(0.62446378), recall0:variable(0.63765374), recall1:variable(0.61061841), f1score0:variable(0.63075393), f1score1:variable(0.61746349)
epoch:33, iteration:83300, loss(train):0.01150693278759718, loss(valid):4.058588027954102, acc(train):0.9964030385017395, acc(valid):0.6322023868560791, precision0:variable(0.64810719), precision1:variable(0.61878635), recall0:variable(0.58916746), recall1:variable(0.67581496), f1score0:variable(0.61723348), f1score1:variable(0.64604457)
epoch:34, iteration:85750, loss(train):0.007510936353355646, loss(valid):4.418144702911377, acc(train):0.9976275563240051, acc(valid):0.6302976012229919, precision0:variable(0.63670686), precision1:variable(0.62417045), recall0:variable(0.61825922), recall1:variable(0.6424976), f1score0:variable(0.62734745), f1score1:variable(0.63320144)
epoch:35, iteration:88200, loss(train):0.008066149428486824, loss(valid):4.599691867828369, acc(train):0.9970408082008362, acc(valid):0.628511905670166, precision0:variable(0.64855801), precision1:variable(0.61252006), recall0:variable(0.57178335), recall1:variable(0.68600192), f1score0:variable(0.60775564), f1score1:variable(0.64718186)
