epoch:0, iteration:2450, loss(train):0.5567867159843445, loss(valid):0.5466763377189636, acc(train):0.7076020240783691, acc(valid):0.7156547904014587, precision0:variable(0.83570646), precision1:variable(0.65756933), recall0:variable(0.54145476), recall1:variable(0.89215099), f1score0:variable(0.65714491), f1score1:variable(0.75710581)
epoch:1, iteration:4900, loss(train):0.5155739784240723, loss(valid):0.5546468496322632, acc(train):0.7377551198005676, acc(valid):0.7116071581840515, precision0:variable(0.81304197), precision1:variable(0.65860069), recall0:variable(0.55446481), recall1:variable(0.87082085), f1score0:variable(0.65930666), f1score1:variable(0.7499871)
epoch:2, iteration:7350, loss(train):0.4639214873313904, loss(valid):0.603341817855835, acc(train):0.7711224555969238, acc(valid):0.709761917591095, precision0:variable(0.80050378), precision1:variable(0.65993545), recall0:variable(0.5638084), recall1:variable(0.8576393), f1score0:variable(0.66162387), f1score1:variable(0.74590933)
epoch:3, iteration:9800, loss(train):0.37250658869743347, loss(valid):0.733292818069458, acc(train):0.8207398056983948, acc(valid):0.696071445941925, precision0:variable(0.74342201), precision1:variable(0.66323959), recall0:variable(0.6048492), recall1:variable(0.78849611), f1score0:variable(0.66701448), f1score1:variable(0.72046425)
epoch:4, iteration:12250, loss(train):0.2696044147014618, loss(valid):0.8841152191162109, acc(train):0.8780867457389832, acc(valid):0.6727380752563477, precision0:variable(0.68581124), precision1:variable(0.66097478), recall0:variable(0.64541691), recall1:variable(0.70041941), f1score0:variable(0.66500122), f1score1:variable(0.68012567)
epoch:5, iteration:14700, loss(train):0.17998428642749786, loss(valid):1.2164403200149536, acc(train):0.9235458970069885, acc(valid):0.6575000286102295, precision0:variable(0.65418427), precision1:variable(0.6611118), recall0:variable(0.6777055), recall1:variable(0.63702816), f1score0:variable(0.66573719), f1score1:variable(0.64884658)
epoch:6, iteration:17150, loss(train):0.12227017432451248, loss(valid):1.5098390579223633, acc(train):0.9513265490531921, acc(valid):0.6591071486473083, precision0:variable(0.67092732), precision1:variable(0.6484127), recall0:variable(0.63323477), recall1:variable(0.68532055), f1score0:variable(0.65153636), f1score1:variable(0.66635596)
epoch:7, iteration:19600, loss(train):0.08263731747865677, loss(valid):1.8629616498947144, acc(train):0.9692091941833496, acc(valid):0.6657738089561462, precision0:variable(0.679565), precision1:variable(0.65350877), recall0:variable(0.63560024), recall1:variable(0.69634512), f1score0:variable(0.65684777), f1score1:variable(0.67424726)
epoch:8, iteration:22050, loss(train):0.06329867243766785, loss(valid):1.9486322402954102, acc(train):0.9763265252113342, acc(valid):0.6692857146263123, precision0:variable(0.69145423), precision1:variable(0.65109979), recall0:variable(0.61916026), recall1:variable(0.7200719), f1score0:variable(0.65331337), f1score1:variable(0.68385114)
epoch:9, iteration:24500, loss(train):0.04931032285094261, loss(valid):2.2788519859313965, acc(train):0.9824489951133728, acc(valid):0.6579166650772095, precision0:variable(0.67052897), precision1:variable(0.646614), recall0:variable(0.62968658), recall1:variable(0.68651887), f1score0:variable(0.6494663), f1score1:variable(0.6659692)
epoch:10, iteration:26950, loss(train):0.04460320621728897, loss(valid):2.293431520462036, acc(train):0.9840306043624878, acc(valid):0.6586309671401978, precision0:variable(0.66719941), precision1:variable(0.65058851), recall0:variable(0.64186872), recall1:variable(0.67561414), f1score0:variable(0.65428899), f1score1:variable(0.6628652)
